network,cpu%,gpu%,method,scaledQPS
wifi,0,100,sq,81.56995018101642
wifi,0,100,ns,86.85490055250023
wifi,30,70,sq,81.56995018102212
wifi,30,70,ns,84.05684292999798
wifi,70,30,sq,81.56995018102212
wifi,70,30,ns,82.55931959227726
wifi,100,0,sq,81.56995018101642
wifi,100,0,ns,81.47073193396974
lte,0,100,sq,81.56995018101642
lte,0,100,ns,508.0457930798086
lte,30,70,sq,81.56995018102212
lte,30,70,ns,207.69432354097577
lte,70,30,sq,81.56995018102212
lte,70,30,ns,116.63207853933662
lte,100,0,sq,81.56995018101642
lte,100,0,ns,86.6323521810441
3g,0,100,sq,81.56995018101642
3g,0,100,ns,547.0907315823157
3g,30,70,sq,81.56995018102212
3g,30,70,ns,546.9998018217035
3g,70,30,sq,81.56995018102212
3g,70,30,ns,546.9998018217035
3g,100,0,sq,81.56995018101642
3g,100,0,ns,547.0907315823157
